copai-webui  | 2026-04-08 20:18:37.748 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:58546 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:21:08.441 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:43434 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:22:01.291 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.177.72.61:0 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:22:05.289 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.177.72.61:0 - "GET /config.json HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:23:02.325 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.177.72.61:0 - "GET /.aws/credentials HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:23:34.206 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.177.72.61:0 - "GET /docker-compose.prod.yml HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:24:11.713 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:35014 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:32:43.871 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 45.79.211.97:59932 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:35:11.650 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:60412 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:38:31.859 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 79.124.40.174:44198 - "GET /?XDEBUG_SESSION_START=phpstorm HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:40:25.736 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:50678 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:45:43.188 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:38516 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:50:42.316 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:37520 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:56:15.231 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:53338 - "GET / HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 20:58:21.505 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:51208 - "GET / HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 20:58:30.220 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:13154 - "GET /static/favicon.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:58:32.955 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:13162 - "GET /static/favicon-96x96.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:58:38.296 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:64940 - "GET /static/favicon.svg HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:58:41.670 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:1042 - "GET /static/favicon.ico HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:58:45.513 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:35962 - "GET /static/apple-touch-icon.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:58:49.382 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:35968 - "GET /favicon.ico HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 20:59:20.444 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:9210 - "GET /.well-known/security.txt HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:59:22.327 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:9212 - "GET /static/favicon.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:59:29.561 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:35286 - "GET /static/favicon.svg HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:59:39.161 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:63378 - "GET /favicon.ico HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 20:59:45.078 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:49338 - "GET /n8qysfh19 HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 20:59:48.836 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.186.176:49344 - "GET /favicon.ico HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 21:02:19.670 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:57832 - "GET /robots.txt HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:24.321 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:57842 - "GET /favicon.ico HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 21:02:28.102 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:13096 - "GET /ly4cylqmrku76fzv7 HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:31.045 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:13110 - "GET /static/favicon.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:34.694 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:48602 - "GET /static/favicon-96x96.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:36.871 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:48618 - "GET /static/favicon.svg HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:39.690 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:48634 - "GET /static/favicon.ico HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:47.557 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:30960 - "GET /static/apple-touch-icon.png HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:02:50.114 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 66.132.224.234:30966 - "GET /favicon.ico HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:04:35.204 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:36096 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:06:05.168 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 20.65.201.33:0 - "GET /login HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:12:40.395 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:51296 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:13:53.698 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 79.124.40.174:60570 - "GET /actuator/gateway/routes HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:14:16.670 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:57074 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:22:23.721 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:39314 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:30:06.548 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:55868 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:37:44.930 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:57892 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:40:11.992 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:35096 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:42:41.073 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 142.248.80.163:43284 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:45:07.462 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:44404 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:53:13.798 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:37806 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 21:57:55.379 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 46.151.178.13:0 - "PROPFIND / HTTP/1.1" 405 - {}
copai-webui  | 2026-04-08 22:00:10.218 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 172.236.228.245:57676 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:01:23.537 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:40902 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:02:50.530 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:56346 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:10:35.078 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 60.165.238.170:0 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:10:43.008 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:54814 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:18:53.303 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:57996 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:21:06.608 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 5.61.209.107:55288 - "GET /SDK/webLanguage HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:23:21.303 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 20.163.74.93:40824 - "GET / HTTP/1.1" 200 - {}
copai-webui  | Invalid HTTP request received.
copai-webui  | 2026-04-08 22:26:29.464 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:46848 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:27:03.200 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:32992 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:29:48.405 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 20.40.218.197:0 - "GET /login HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:35:39.889 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:57654 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:36:03.394 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 72.14.178.148:45045 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:42:08.263 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:56490 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:51:04.450 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:47630 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 22:52:59.490 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 176.65.151.74:36150 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 23:00:29.623 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:59810 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 23:01:42.847 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 138.197.46.110:42096 - "GET /login HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 23:03:45.798 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 180.149.126.4:44528 - "GET /c/ HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 23:08:06.848 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:39998 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 23:14:16.525 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 185.16.39.146:48764 - "GET / HTTP/1.1" 200 - {}
copai-webui  | 2026-04-08 23:15:34.383 | INFO     | uvicorn.protocols.http.httptools_impl:send:476 - 46.151.178.13:0 - "PROPFIND / HTTP/1.1" 405 - {}
